,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,geneID
ENSG00000010244.12,446.48249310014603,0.008180534912878491,0.19251520573742104,0.0424929287094144,0.966105748733045,0.986752989676017,ENSG00000010244
ENSG00000011426.6,116.510216470208,-2.006519311999,0.36720149307539895,-5.464354992660629,4.6459297621394505e-08,1.31056980458734e-06,ENSG00000011426
ENSG00000022840.11,248.994388557205,-0.12838118624897502,0.24619496500598,-0.521461461431012,0.6020453456794711,0.8040940651684729,ENSG00000022840
ENSG00000023287.8,251.612037134081,0.657172444289317,0.250727659339958,2.62106081961331,0.00876566223667315,0.050871640340711,ENSG00000023287
ENSG00000047410.9,542.968735760988,-0.0871016417684774,0.17645965897411,-0.49360654029857703,0.621584080908953,0.8153338524190269,ENSG00000047410
ENSG00000068745.10,209.75543963842702,0.207229536040755,0.275261011080919,0.7528473982820458,0.451541620494368,0.697195813292226,ENSG00000068745
ENSG00000070756.9,2160.54090777915,-0.0461506276273295,0.126044224876568,-0.3661463083495,0.7142559040491091,0.8687195391462509,ENSG00000070756
ENSG00000072756.12,78.5232998476017,0.0675755467861705,0.42148885890733206,0.160325819670189,0.8726244207922241,0.9479925879882991,ENSG00000072756
ENSG00000073921.13,295.75415378097097,-0.480053955164272,0.22288222189514398,-2.15384587914829,0.0312522604064712,0.131691716979669,ENSG00000073921
ENSG00000077380.11,294.56009133546297,0.496302800705701,0.23258574036905602,2.1338487902061,0.0328551605454995,0.136611735782595,ENSG00000077380
ENSG00000078674.13,447.673133172986,-0.48650009035541797,0.198210740961284,-2.4544587644241003,0.0141096845894706,0.0733715288531999,ENSG00000078674
ENSG00000080345.13,302.82043330051204,-0.12252451576475401,0.22164243263095898,-0.552802612344367,0.580398579500829,0.792014715564073,ENSG00000080345
ENSG00000080986.8,54.807955406645796,-2.13562269970245,0.5561073785822901,-3.84030635440747,0.00012288086901886,0.00149469336123425,ENSG00000080986
ENSG00000082258.8,188.151017975467,0.497247749388998,0.285453839342553,1.7419550233909602,0.0815163146571094,0.253720922651352,ENSG00000082258
