,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,geneID
ENSG00000010244.12,1625.3222436721699,0.528656595767834,0.0964622080266445,5.48045298342964,4.2423824664025596e-08,2.90953947105246e-06,ENSG00000010244
ENSG00000011426.6,428.239354851943,0.145262396146249,0.192985556158045,0.7527112341365408,0.45162345765343304,0.7145423518114741,ENSG00000011426
ENSG00000022840.11,623.475222463797,-0.160341769027052,0.148952164739659,-1.07646484565901,0.281719414859583,0.56971815728511,ENSG00000022840
ENSG00000023287.8,524.156814465219,-0.27836609904341,0.173525224367967,-1.60418233174633,0.10867386806674499,0.34382469700739304,ENSG00000023287
ENSG00000047410.9,2031.81130827772,-0.274247667871042,0.0926605719254827,-2.9597018685746,0.00307936881772791,0.0321213202424073,ENSG00000047410
ENSG00000068745.10,214.402935693708,0.19411473768829202,0.27519464056354803,0.7053725221202719,0.4805784393384229,0.7366924785836629,ENSG00000068745
ENSG00000070756.9,7498.72413934391,-0.0281909450963643,0.0672481824947901,-0.41920753915614395,0.675064462718923,0.8551912677343241,ENSG00000070756
ENSG00000072756.12,218.469230603623,0.8102622125448521,0.269958752710323,3.00142967920102,0.0026871509616222602,0.0293296802954008,ENSG00000072756
ENSG00000073921.13,2670.73193180433,-0.0921763946148345,0.10499231735084401,-0.877934661703067,0.379979177596585,0.658253386173986,ENSG00000073921
ENSG00000077380.11,593.861600888211,-0.10243540386684401,0.152392142019633,-0.6721829781331301,0.501467216059966,0.7499326624241371,ENSG00000077380
ENSG00000078674.13,888.742208636179,-0.203664673592108,0.14216590576236,-1.43258450399878,0.151976612783729,0.41574004313639296,ENSG00000078674
ENSG00000080345.13,1075.45102603146,0.0703196386914848,0.15653089878933402,0.449238068875614,0.6532599281461829,0.844984851993442,ENSG00000080345
ENSG00000080986.8,582.198597806434,-0.0233794578201744,0.157739946776297,-0.14821520038504002,0.8821729361370699,0.9607001743964441,ENSG00000080986
ENSG00000082258.8,291.982176153237,0.45755030779831396,0.272708118686906,1.67780229646784,0.0933857008995557,0.313895296456001,ENSG00000082258
ENSG00000088205.8,654.754361942116,0.05952752138563,0.141500778188289,0.42068688347720007,0.6739837403200211,0.854746414995251,ENSG00000088205
ENSG00000088247.11,1070.2503173760401,0.36831132156925,0.17485771262112,2.1063487337690603,0.0351740709925045,0.169240794027142,ENSG00000088247
ENSG00000092199.13,3098.5145503377003,0.0208161762970571,0.0822586780797096,0.253057510563031,0.8002237720620541,0.919674821351572,ENSG00000092199
ENSG00000096384.15,12854.135220548702,-0.124484526540855,0.0748311583210141,-1.6635386827347498,0.0962046543205006,0.32043691744992797,ENSG00000096384
ENSG00000100023.13,757.2420135738499,0.11687645112031501,0.157476631921087,0.7421828222671341,0.45797657475252,0.719123123507202,ENSG00000100023
ENSG00000100201.14,1939.55138783707,-0.17740938027768102,0.0922022442283639,-1.92413299440173,0.0543379153175671,0.22577387141556302,ENSG00000100201
ENSG00000101972.14,1200.0443329764,-0.162377410418124,0.120794738465358,-1.34424241056403,0.17887001146576,0.450667573001669,ENSG00000101972
ENSG00000102144.9,3811.5967730749894,-0.432154744360019,0.0762227083112503,-5.66963250105657,1.4310414190363798e-08,1.14352025319329e-06,ENSG00000102144
ENSG00000103160.7,251.992568622103,-0.43623336196064294,0.28855788029461,-1.5117707460120702,0.13059219393645,0.380930344670622,ENSG00000103160
ENSG00000103995.9,454.755871063909,-0.401825550375089,0.16950698529467803,-2.37055452125786,0.0177614241305673,0.109937885600488,ENSG00000103995
ENSG00000106144.15,288.193589803059,-0.13169640853456802,0.21005052393121498,-0.626974910939494,0.5306756811851541,0.77100670277276,ENSG00000106144
ENSG00000107929.10,513.958649901533,0.41202485740694,0.18724265622031303,2.20048607365484,0.0277724269310788,0.146515953100967,ENSG00000107929
ENSG00000108651.5,630.472432488162,0.0701949475922978,0.149371029005337,0.4699368281769671,0.638400151385163,0.838176864420375,ENSG00000108651
ENSG00000108654.7,2018.7048776196302,0.42158998058144503,0.0887232716961329,4.751740693527879,2.01672902077556e-06,9.196706686363921e-05,ENSG00000108654
ENSG00000109920.8,486.366410085135,0.036683549020687996,0.166867567322422,0.21983630258004502,0.825998645779967,0.9324064547360699,ENSG00000109920
ENSG00000110172.7,435.85029975825597,0.498686111377865,0.176487944045062,2.82561006688671,0.004719067195044071,0.0434953177447977,ENSG00000110172
ENSG00000110321.11,2716.6556725029,0.686856440457474,0.102252687422658,6.7172458521150995,1.8519137074785897e-11,3.36045174836218e-09,ENSG00000110321
ENSG00000110700.2,2195.01909425771,0.0379101025354345,0.09354495211269001,0.40526080434319606,0.685285814365854,0.8606834092468041,ENSG00000110700
ENSG00000110911.10,336.937569705846,0.33667825051095596,0.19322307677369396,1.74243292329559,0.0814327191268922,0.28790104303145697,ENSG00000110911
ENSG00000111364.11,386.03983636808505,0.882527375602903,0.20119365488172897,4.38645729718313,1.15211771003774e-05,0.00040792460383856497,ENSG00000111364
ENSG00000112081.12,1235.43913542114,0.177707721785387,0.119081693390819,1.4923177251280901,0.13561587218114401,0.389517911026351,ENSG00000112081
ENSG00000112237.8,446.424833109157,0.328574731080159,0.197685049318868,1.66211219418098,0.09649028102356899,0.32089742180805103,ENSG00000112237
ENSG00000112855.10,185.267720922692,0.26069007799015304,0.279569930944089,0.932468227573045,0.351094599195842,0.632871266348466,ENSG00000112855
ENSG00000113569.11,1007.3577908864801,0.12269312286870301,0.120417843375596,1.0188948699738,0.30825287943484997,0.597120717195728,ENSG00000113569
ENSG00000113810.11,1992.7716613228602,-0.220624650908237,0.0915080302411401,-2.41098677708231,0.0159094252269785,0.10196548471448301,ENSG00000113810
ENSG00000114346.9,711.9679917029902,1.00239654750357,0.18230138245363198,5.498567997741469,3.82887890989132e-08,2.6894786536414e-06,ENSG00000114346
