id,rowID,baseMean,baseMeanA,baseMeanB,foldChange,log2FoldChange,pval,padj,geneID
ENSG00000010244.12,254,2964.7753487107298,2464.1528707838697,3465.39782663758,1.40632420485146,0.49192922230072,0.00023910310359946002,0.0017740269346462,ENSG00000010244
ENSG00000011426.6,302,1560.1145356998902,702.02284887886,2418.20622252093,3.4446260921319505,1.7843473895178799,6.21683606326187e-41,1.4904707470860698e-38,ENSG00000011426
ENSG00000022840.11,426,1645.73021290374,1470.9623250226098,1820.4981007848603,1.23762388051433,0.30757293962358,0.0161106829631315,0.0696515592222086,ENSG00000022840
ENSG00000023287.8,432,1271.04525753776,1114.9996552017801,1427.0908598737399,1.27990251227072,0.35603392708482207,0.0485970416882712,0.17410577878809302,ENSG00000023287
ENSG00000047410.9,629,3783.5772779473705,3223.0852737329997,4344.0692821617295,1.3477984332479,0.43060475386585995,0.000575280157223264,0.0038669709803721797,ENSG00000047410
ENSG00000068745.10,1061,1349.22507716475,1476.29332090785,1222.15683342165,0.827855017775248,-0.27254996418104604,0.0427557386197802,0.156775445101264,ENSG00000068745
ENSG00000070756.9,1139,12501.1157669156,10081.3548071388,14920.8767266923,1.48004678062978,0.565642776608263,4.1494889181632704e-07,5.4233545965090995e-06,ENSG00000070756
ENSG00000072756.12,1215,402.63360677190803,380.410539079653,424.856674464163,1.11683728713732,0.159419013807492,0.842939452004783,1.0,ENSG00000072756
ENSG00000073921.13,1261,2032.6794956092199,2011.36162420788,2053.99736701056,1.02119745265572,0.0302618441056742,0.969098510402446,1.0,ENSG00000073921
ENSG00000077380.11,1397,2794.1175904664897,3366.8267846167796,2221.4083963161997,0.6597928965237939,-0.599914849274702,2.3925659111282395e-07,3.26365240808212e-06,ENSG00000077380
ENSG00000078674.13,1448,3375.33451705346,2965.88781042447,3784.7812236824398,1.27610397479626,0.351745882246783,0.009315423932742971,0.0438693625086616,ENSG00000078674
ENSG00000080345.13,1506,2099.6723154460897,1659.13411585167,2540.2105150405105,1.5310459177295401,0.6145175514773481,0.0027399803335092,0.0153510631070811,ENSG00000080345
ENSG00000080986.8,1531,388.26137554354403,229.622098599576,546.900652487511,2.38174224442229,1.25201729111355,9.114944707716409e-13,2.71787955574936e-11,ENSG00000080986
ENSG00000082258.8,1578,1164.74524114701,1105.23132671466,1224.25915557936,1.1076949467389,0.14756062559119298,0.351298365502616,0.764343988162252,ENSG00000082258
