id	baseMean	baseMeanA	baseMeanB	foldChange	log2FoldChange	pval	padj
1	ENSG00000000003.10	1756.13466231323	1782.80567129225	1729.46365333422	0.970079735095659	-0.043824761299543	0.614541263876823	1
2	ENSG00000000419.8	1492.18818847229	1295.24734509523	1689.12903184936	1.30409765999186	0.383051912751713	1.96478157134292e-05	0.00022355454514678
3	ENSG00000000457.9	154.730644665539	166.979665798814	142.481623532265	0.853287272139681	-0.22889656633479	0.301204479993503	0.693632680164112
4	ENSG00000000460.12	257.867470693939	219.050383347572	296.684558040307	1.35441241191325	0.437667099347115	0.0106774057274024	0.051963374540025
5	ENSG00000000971.11	0.48636812793493	0	0.97273625586986	Inf	Inf	0.771999008688815	1
6	ENSG00000001036.9	2640.94119503644	2418.39247083469	2863.48991923819	1.18404682191633	0.243726131989564	0.00185828285423601	0.0118521794846731
7	ENSG00000001084.6	1022.66632542374	820.415325180643	1224.91732566685	1.49304539794785	0.578258033120464	9.5073650473045e-09	2.23954640555195e-07
8	ENSG00000001167.10	959.153352737022	875.601305449029	1042.70540002502	1.19084495824306	0.251985594113792	0.013958806851996	0.0646471626380442
9	ENSG00000001460.13	95.827254489999	92.9169314186734	98.7375775613246	1.06264354680875	0.0876577403382114	0.765164274595915	1
10	ENSG00000001461.12	366.189632255323	439.585651493819	292.793613016828	0.666067265894244	-0.586260212978733	6.93820827312028e-05	0.000678753776174911
11	ENSG00000001497.12	750.41565029166	770.393629054664	730.437671528655	0.948135659461465	-0.0768345998670479	0.493385034929033	0.927045836526953
12	ENSG00000001561.6	5.94541092339674	4.60014751830337	7.2906743284901	1.58487837606979	0.664372131864077	0.641835437433082	1
13	ENSG00000001617.7	538.827787294845	597.392090743891	480.263483845799	0.803933448880717	-0.314852017542502	0.0122197497090629	0.0579894108162975
14	ENSG00000001629.5	1115.67665078206	1100.30341551416	1131.04988604995	1.02794362909564	0.039761151444217	0.686040271642692	1
