id	baseMean	baseMeanA	baseMeanB	foldChange	log2FoldChange	pval	padj
1	ENSG00000000003.10	1976.66654508733	2203.22059444269	1750.11249573197	0.794342836185526	-0.332166289894953	0.309466752490793	1
2	ENSG00000000419.8	1762.91008298832	1816.5316027155	1709.28856326113	0.940962744994882	-0.0877904906106145	0.727644489578209	1
3	ENSG00000000457.9	161.160059362378	178.144983297282	144.175135427474	0.809313474670683	-0.305229479060374	0.335375956636986	1
4	ENSG00000000460.12	235.583203324302	170.973965182062	300.192441466542	1.75577867160582	0.812110994359916	0.00602450749763336	0.277621731038928
5	ENSG00000000971.11	0.998160766482546	1.01208401996004	0.984237513005055	0.972485973095316	-0.0402506537260844	1	1
6	ENSG00000001036.9	2932.07209316462	2966.5297681644	2897.61441816484	0.976769034735761	-0.0339106297598985	0.894352586035822	1
7	ENSG00000001084.6	1384.24604387474	1529.18045659846	1239.31163115103	0.81044171458206	-0.303219661281588	0.229727118283144	1
8	ENSG00000001167.10	930.517923227139	805.977081150604	1055.05876530367	1.3090431353178	0.388512637454084	0.131698276111008	1
9	ENSG00000001460.13	93.6662546085487	87.429269601531	99.9032396155664	1.14267498826065	0.192415115274168	0.642581905511897	1
10	ENSG00000001461.12	284.649913695972	273.044335977422	296.255491414522	1.08500874172691	0.117706666259849	0.688252925256053	1
11	ENSG00000001497.12	769.728184596707	800.350373746577	739.105995446837	0.923478041232061	-0.114850438154205	0.662178510215007	1
12	ENSG00000001561.6	3.68932465099231	0	7.37864930198463	Inf	Inf	0.0122397454608733	0.406315508237865
13	ENSG00000001617.7	444.564936369069	403.267718020246	485.862154717893	1.20481291461446	0.26880913972272	0.324237078662829	1
14	ENSG00000001629.5	1326.41132349379	1508.31102164037	1144.51162534721	0.758803462234533	-0.398201833458485	0.166003001822044	1
15	ENSG00000001630.11	4581.75924976277	4221.41725956937	4942.10123995618	1.1707208589137	0.22739712753181	0.355958616916545	1
