id	baseMean	baseMeanA	baseMeanB	foldChange	log2FoldChange	pval	padj
1	ENSG00000000003.10	1826.45336144167	1901.22036603557	1751.68635684778	0.921348407654815	-0.118181280648816	0.299732084304836	0.786335774017545
2	ENSG00000000419.8	1445.46098928265	1180.09509419446	1710.82688437083	1.44973646004235	0.535790664139611	5.98783592503527e-06	0.000187836547070476
3	ENSG00000000457.9	178.575415733673	212.844882783957	144.30594868339	0.677986460355093	-0.56067163240127	0.0087463516273944	0.0744162310764133
4	ENSG00000000460.12	295.376355700631	290.285101484771	300.467609916492	1.03507761293859	0.049738948984051	0.786092019788302	1
5	ENSG00000000971.11	1.0038977884765	1.02265587230876	0.985139704644237	0.963314963830572	-0.0539205185590938	1	1
6	ENSG00000001036.9	2772.90514911166	2645.5803829175	2900.22991530582	1.09625469482333	0.132583021172939	0.22442194020483	0.672964022035084
7	ENSG00000001084.6	1250.16166042578	1259.86225223455	1240.46106861701	0.984600551700687	-0.0223895469298331	0.861763988090616	1
8	ENSG00000001167.10	1140.91055494615	1225.79899704524	1056.02211284705	0.861496962709678	-0.215082384788165	0.0800735937511155	0.359495212002018
9	ENSG00000001460.13	116.716865761197	133.438647891606	99.9950836307883	0.749371229480798	-0.416247505373732	0.103453371081507	0.423273934849831
10	ENSG00000001461.12	289.946509472487	283.365967847058	296.527051097915	1.04644553243585	0.0654972211686815	0.727330683120345	1
11	ENSG00000001497.12	672.134780317557	604.49090741646	739.778653218654	1.22380443467777	0.291373032162442	0.0350749213728166	0.205605308340455
12	ENSG00000001561.6	8.52186764079744	9.65859110616133	7.38514417543355	0.764619196967815	-0.387186673131495	0.73825421501823	1
13	ENSG00000001617.7	482.054876424474	477.790146184096	486.319606664851	1.01785189700725	0.0255276567011107	0.875565463090659	1
14	ENSG00000001629.5	1218.20634494215	1290.86539385296	1145.54729603134	0.887425831915842	-0.172301545972555	0.155933832574284	0.547647730736229
15	ENSG00000001630.11	4691.08980976547	4435.56947780236	4946.61014172858	1.11521421690804	0.157320858115954	0.131510028741509	0.493067988240766
16	ENSG00000001631.10	707.788974264196	748.224081648081	667.353866880312	0.891917118479213	-0.165018441148179	0.226679814696885	0.676131697790155
17	ENSG00000002016.12	231.321593351569	218.810898975494	243.832287727643	1.1143516564728	0.156204576476254	0.42654125573806	0.922792627194789
18	ENSG00000002079.8	9.72137569711383	6.63593523385257	12.8068161603751	1.92991879954499	0.948540148033157	0.307621157536482	0.796096144748653
